Date,Word,sponsored,Sponsor,Variant
11 December 2025,NEXUS,FALSE,,
12 December 2025,RIFLE,FALSE,,
13 December 2025,SNAFU,FALSE,,
14 December 2025,TRUTH,FALSE,,
15 December 2025,CLEAN,FALSE,,
16 December 2025,RELIC,FALSE,,
17 December 2025,CABAL,FALSE,,
18 December 2025,ANGEL,FALSE,,
19 December 2025,DRIVE,FALSE,,
20 December 2025,DELTA,FALSE,,
21 December 2025,BANAL,FALSE,,
22 December 2025,HORSE,FALSE,,
23 December 2025,PAPAL,FALSE,,
24 December 2025,VODKA,FALSE,,
25 December 2025,CURVY,FALSE,,
26 December 2025,SAUNA,FALSE,,
27 December 2025,DREAM,FALSE,,
28 December 2025,STUMP,FALSE,,
29 December 2025,CLEAN,FALSE,,
30 December 2025,CYBER,FALSE,,
31 December 2025,SYNTH,FALSE,,
1 January 2026,HEIST,FALSE,,
2 January 2026,BLADE,TRUE,BUDGET ARMS,Brought to you by Budget Arms - Firepower for the people
3 January 2026,PREEM,FALSE,,
4 January 2026,CHOOM,FALSE,,
5 January 2026,GHOST,FALSE,,
6 January 2026,CRASH,TRUE,All World Insurance,Today's word from All World Insurance - Because tomorrow isn't guaranteed
7 January 2026,TURBO,TRUE,Combat Cab,"Brought to you by Combat Cab - Fast, reliable, armed"
8 January 2026,SHARD,FALSE,,
9 January 2026,OPTIC,FALSE,,
10 January 2026,WIRED,FALSE,,
11 January 2026,GRAFT,FALSE,,
12 January 2026,RAZOR,TRUE,BUDGET ARMS,Brought to you by Budget Arms - Firepower for the people
13 January 2026,STEEL,TRUE,Constitutional Arms,Today's word brought to you by Constitutional Arms - Trusted by Night City
14 January 2026,FILTH,TRUE,Wash n' Run,Brought to you by Wash n' Run - Because life's too short for dirty laundry
15 January 2026,MEATY,TRUE,All Foods,Today's word from All Foods - Real food for real people
16 January 2026,FATAL,TRUE,All World Insurance,Today's word from All World Insurance - Because tomorrow isn't guaranteed
17 January 2026,GUARD,TRUE,Constitutional Arms,Today's word brought to you by Constitutional Arms - Trusted by Night City
18 January 2026,ROGUE,FALSE,,
19 January 2026,NERVE,FALSE,,
20 January 2026,CREDS,FALSE,,
21 January 2026,GREED,FALSE,,
22 January 2026,TOWER,FALSE,,
23 January 2026,BRAWL,FALSE,,
24 January 2026,SCRAP,FALSE,,
25 January 2026,DOLLS,FALSE,,
26 January 2026,SMOKE,TRUE,Wash n' Run,Brought to you by Wash n' Run - Because life's too short for dirty laundry
27 January 2026,RISKY,TRUE,All World Insurance,Today's word from All World Insurance - Because tomorrow isn't guaranteed
28 January 2026,QUICK,TRUE,Combat Cab,"Brought to you by Combat Cab - Fast, reliable, armed"
29 January 2026,LIGHT,FALSE,,
30 January 2026,SPINE,FALSE,,
31 January 2026,VAULT,FALSE,,
1 February 2026,BOOST,TRUE,Combat Cab,"Brought to you by Combat Cab - Fast, reliable, armed"
2 February 2026,SQUAD,TRUE,Constitutional Arms,Today's word brought to you by Constitutional Arms - Trusted by Night City
3 February 2026,BURNT,TRUE,Wash n' Run,Brought to you by Wash n' Run - Because life's too short for dirty laundry
4 February 2026,PROXY,FALSE,,
5 February 2026,DONOR,TRUE,All World Insurance,Today's word from All World Insurance - Because tomorrow isn't guaranteed
6 February 2026,FEAST,TRUE,All Foods,Today's word from All Foods - Real food for real people
7 February 2026,THUGS,FALSE,,
8 February 2026,SEEDY,FALSE,,
9 February 2026,GRIFT,FALSE,,
10 February 2026,MAXED,FALSE,,
11 February 2026,TOXIC,FALSE,,
12 February 2026,GRIMY,TRUE,Wash n' Run,Brought to you by Wash n' Run - Because life's too short for dirty laundry
13 February 2026,PUNCH,TRUE,BUDGET ARMS,Brought to you by Budget Arms - Firepower for the people
14 February 2026,JACKS,FALSE,,
15 February 2026,TRACE,FALSE,,
16 February 2026,ZEROS,FALSE,,
17 February 2026,TUNED,FALSE,,
18 February 2026,HACKS,FALSE,,
19 February 2026,ARMED,TRUE,Constitutional Arms,Today's word brought to you by Constitutional Arms - Trusted by Night City
20 February 2026,WOUND,TRUE,All World Insurance,Today's word from All World Insurance - Because tomorrow isn't guaranteed
21 February 2026,SPEED,TRUE,Combat Cab,"Brought to you by Combat Cab - Fast, reliable, armed"
22 February 2026,SLICE,TRUE,All Foods,Today's word from All Foods - Real food for real people
23 February 2026,DINGY,FALSE,,
24 February 2026,VIBES,FALSE,,
25 February 2026,HIRED,FALSE,,
26 February 2026,WASTE,FALSE,,
27 February 2026,FLESH,FALSE,,
